timestamp,node,raw_line
06:42:14.001,S1,=== LoRa SLAVE 1 ===
06:42:14.030,S2,=== LoRa SLAVE 2 ===
06:42:14.033,S1,Init LoRa ... OK
06:42:14.034,S1,Freq: 433.00 MHz
06:42:14.061,MASTER,=== LoRa MASTER-SLAVE 3 NODE ===
06:42:14.062,MASTER,Init LoRa ... OK
06:42:14.063,S2,Init LoRa ... OK
06:42:14.063,S2,Freq: 433.00 MHz
06:42:14.064,S1,Menunggu POLL:1 dari Master...
06:42:14.093,S2,Menunggu POLL:2 dari Master...
06:42:14.094,MASTER,Freq: 433.00 MHz
06:42:14.094,MASTER,SF7 | BW: 125.00 kHz
06:42:14.127,MASTER,Peran: MASTER (COM8)
06:42:14.160,MASTER,Slave: COM9 (S1) & COM10 (S2)
06:42:14.194,MASTER,========================================
06:42:14.206,S2,[IGNORE] POLL:1
06:42:14.223,MASTER,=== CYCLE 1 ===
06:42:14.224,MASTER,[TX] POLL:1
06:42:14.252,S2,[IGNORE] S1:DATA:1
06:42:14.253,S1,[RX] POLL:1 | RSSI: -36 dBm | SNR: 9.25 dB | RX#: 1
06:42:14.262,S1,[TX] S1:DATA:1
06:42:14.282,S1,[IGNORE] POLL:2
06:42:14.293,MASTER,[RX] S1:DATA:1 | RSSI: -41 dBm | SNR: 9.00 dB
06:42:14.294,MASTER,[TX] POLL:2
06:42:14.328,S1,[IGNORE] S2:DATA:1
06:42:14.329,S2,[RX] POLL:2 | RSSI: -69 dBm | SNR: 9.00 dB | RX#: 1
06:42:14.339,S2,[TX] S2:DATA:1
06:42:14.372,MASTER,[RX] S2:DATA:1 | RSSI: -65 dBm | SNR: 8.75 dB
06:42:14.405,MASTER,--- STATISTIK ---
06:42:14.405,MASTER,S1: OK=1 | FAIL=0 | Data: 1
06:42:14.439,MASTER,S2: OK=1 | FAIL=0 | Data: 1
06:42:14.472,MASTER,Durasi siklus: 228 ms
06:42:14.505,MASTER,========================================
06:42:14.996,S2,[IGNORE] POLL:1
06:42:15.003,MASTER,========================================
06:42:15.003,MASTER,=== CYCLE 2 ===
06:42:15.012,MASTER,[TX] POLL:1
06:42:15.040,S2,[IGNORE] S1:DATA:2
06:42:15.042,S1,[RX] POLL:1 | RSSI: -59 dBm | SNR: 9.25 dB | RX#: 2
06:42:15.050,S1,[TX] S1:DATA:2
06:42:15.071,S1,[IGNORE] POLL:2
06:42:15.083,MASTER,[RX] S1:DATA:2 | RSSI: -41 dBm | SNR: 11.75 dB
06:42:15.084,MASTER,[TX] POLL:2
